Ident,Name,Scenery_Local_Path,Continent,Country,State,Laty,Lonx
CZBB,Boundary Bay Airport,"fs-base, Airport CZBB BoundaryBay-v1.0",NA,CA,British Columbia,49.07792,-123.007286
CZNL,Nelson Regional Airport,"fs-base, Airport CZNL Nelson-v1.0",NA,CA,British Columbia,49.493988,-117.30085
KBLI,Bellingham Airport,"fs-base, Airport KBLI Bellingham-v1.2",NA,US,Washington,48.79262,-122.537544
CYYZ,Toronto/Pearson Intl,fs-base,NA,CA,Ontario,43.6760864,-79.62768
ENTC,Tromso,fs-base,EU,NO,,69.68163,18.9177723
LRCL,Aeroportul International Avram Iancu,"fs-base, Airport LRCL-Cluj-v1.5",EU,RO,,46.78772,23.68543
LRIA,Aeroportul International Iasi,"fs-base, Airport LRIA-Iasi",EU,RO,,47.18014,27.6210861
LRSB,Aeroportul International Sibiu,"fs-base, Airport LRSB-Sibiu",EU,RO,,45.78586,24.0868511
LRTR,Traian Vuia,"fs-base, Airport LRTR-Timisoara",EU,RO,,45.8097839,21.3380051
BGTL,Thule AFB,airport-bgtl-thuleafb1.2-superspud,NA,GL,,76.53445,-68.70112
EDDP,Leipzig/Halle,"fs-base, airport-dastrobel-eddp_taxiway_FIX",EU,DE,,51.41772,12.2169971
EDXQ,Flugplatz Rotenburg,"Airport-EDXQ-Rotenburg, radohmat-edxq",EU,DE,Niedersachen,53.12838,9.348533
EFHA,Halli,airport-efha-bli,EU,FI,,61.8563423,24.7980766
EFOU,Oulu Lentoasema,"fs-base, airport-efou",EU,FI,Northern Ostrobothnia,64.93165,25.3594379
EGET,Tingwall,"fs-base, airport-eget-tingwall1.1-superspud",EU,GB,,60.1898651,-1.24558032
EGGP,Liverpool,"fs-base, airport-eggp-liverpool-superspud",EU,GB,,53.33412,-2.85036469
EGHC,St Just,"fs-base, airport-eghc-landsend-superspud",EU,GB,Kernow,50.10265,-5.66996
EGHQ,St Mawgan AB,"fs-base, airport-eghq-newquay-superspud",EU,GB,,50.4410362,-4.995332
EGPR,Barra,airport-egpr-barra-superspud-nopoles,EU,United Kingdom,,57.02363,-7.442347
EGPW,Baltasound Airfield,"fs-base, airport-egpw-unst1.1-superspud",EU,GB,,60.7458153,-0.8521069
EGTE,Exeter,"fs-base, airport-egte-exeter-superspud",EU,GB,,50.7324448,-3.41972661
EGZR,Foula Airfield,"fs-base, airport-egzr-foula1.0-superspud",EU,GB,,60.1223869,-2.05307817
EKVG,Vagar,airport-ekvg-vagar1.5-superspud,EU,FO,Faroe Islands,62.0653877,-7.26544237
ESGN,Brannebrona,airport-esgn,EU,SE,,58.57348,13.6110115
FAPS,Potchefstroom,fs-base,AF,ZA,,-26.6713047,27.08411
FEA,Fetlar,"fs-base, airport-fea-fetlar1.1-superspud",EU,GB,,60.603447,-0.8723885
FHAW,RAF Ascension Island,airport-fhaw-rafascension1.2-superspud,AF,SH,,-7.9685545,-14.3929672
FHSH,St Helena,airport-fhsh-sthelena1.41-superspud,AF,SH,St Helena,-15.9575462,-5.64944029
LFQD,Roclincourt-Arras,"fs-base, airport-france-lfqd roclincourt 1.10",EU,FR,,50.32379,2.80259514
KNZY,North Island Naval Air Station,"airport-julysfire-knzy, julysfire-airport-knzy-northislandnas",NA,US,California,32.69895,-117.215164
KHF,Kenyon Hall Farm,airport-khf-strip,EU,GB,,53.4543877,-2.58100963
KOQN,Brandywine,fs-base,NA,US,Pennsylvania,39.9901237,-75.58191
LDVA,Varazdin,fs-base,EU,HR,,46.29447,16.3833771
LEZG,Zaragoza,airport-lezg,EU,ES,Aragon,41.66873,-1.04586387
LFCS,Leognan Saucats,"fs-base, airport-lfcs-leognan",EU,FR,,44.6987038,-0.5965818
LFDY,Yvrac,"fs-base, airport-lfdy-yvrac",EU,FR,,44.8764076,-0.482959
LID1,Casera Razzo,airport-lid1-caserarazzo,EU,IT,Vento,46.47674,12.614769
LIDU,Carpi Budrione,"fs-base, airport-lidu",EU,IT,Italy,44.83511,10.8711262
LITA,Aviosuperficie Sassuolo,"fs-base, airport-lita",EU,IT,Italy,44.5693474,10.7801685
LITZ,Campo Volo Willy Coyote,"fs-base, airport-litz",EU,IT,Modena,44.7728539,10.8321056
N57,New Garden Airport,"fs-base, airport-n57",NA,US,Pennsylvania,39.83097,-75.7691345
TVSA,Argyle International Airport,"fs-base, airport-tvsa-argyle-superspud",NA,VC,,13.1550474,-61.1555862
ULMM,Murmansk,"fs-base, xflight-ulmm",AS,RU,,68.7835846,32.7512245
UODN,Nagurskoye Air Base,airport-uodn-nagurskoye air base1.0-superspud,AS,RU,,80.79558,47.485714
UT69,Pelican Lake Airport,"fs-base, airport-ut69",NA,US,Utah,40.1816177,-109.670921
YBFT,Beaufort,airport-ybft-beaufort,OC,AU,Victoria,-37.4943657,143.429855
YBHB,Barthurst Harbour,"fs-base, airport-ybhb-bathurst-harbour",OC,AU,Tasmania,-43.42131,146.16275
YBRA,Benambra Airport,"fs-base, airport-ybra-benambra -v1.2",OC,AU,Victoria,-36.96666,147.698883
YCHL,Charlton Airport,"fs-base, airport-ychl-charlton",OC,AU,Victoria,-36.2915344,143.331055
YMAV,Avalon Airport,"fs-base, airport-ymav-avalon",OC,AU,Victoria,-38.039444,144.469452
YMOA,Oatlands,airport-ymoa-oatlands,OC,AU,Tasmania,-42.30863,147.401825
YPCH,Patchewollock,airport-ypch-patchewollock,OC,AU,Victoria,-35.36878,142.193924
YRED,Redcliffe Aerodrome,"fs-base, airport-yred",OC,AU,Queensland,-27.2405567,153.068817
ZBAR,Alxa Right Banner,airport-zbar-badanjilin-mottoth,AS,CN,Inner Mongolia,39.22499,101.549828
ZBCD,Puning,airport-zbcd-chengde-mottoth,AS,CN,Hebei,41.1210175,118.075989
ZBLF,Qiaoli,airport-zblf-linfen-mottoth,AS,CN,Shanxi,36.1311569,111.641548
ZGNN,Wuxu,airport-zgnn-nanning-mottoth,AS,CN,Guangxi,22.6090126,108.176064
ZKWS,Kalma,"fs-base, airport-zkwskalma",AS,KP,,39.1634674,127.488762
ZKWS,Kalma,"fs-base, airport-zkwskalma",AS,KP,,39.1634674,127.488762
ZLDL,Delingha Airport,airport-zldl-delingha-mottoth,AS,CN,Qinghai,37.1252174,97.2687454
ZREE,Zree,"fs-base, airport-zuzh-panzhihua-mottoth",AS,CN,Sichuan,26.5398941,101.799217
ZUZH,Bao'Anying,airport-zuzh-panzhihua-mottoth,AS,CN,Sichuan,26.5399361,101.798439
FFZK,Fun Fly Zone,airport_ffzk_fun-fly-zone_0235_0.7 - full,NA,US,Wisconsin,43.968,-88.56148
PAMM,Metlakatla Seaplane Base,aka-airport-alaskaspb2,NA,US,Alaska,55.13068,-131.574158
Z43,Tamgas Harbor Seaplane Base,aka-airport-alaskaspb2,NA,US,Alaska,55.0661545,-131.543869
4Z7,Hyder Seaplane Base,aka-airport-alaskaspb2,NA,CA,Alaska,55.9203262,-130.008
PAGK,Gulkana Airport,"fs-base, aka-airport-pagk-gulkana",NA,US,Alaska,62.1562576,-145.4549
CKX,Chicken Airport,"fs-base, aka-airport-paor-northway",NA,US,Alaska,64.06611,-141.9515
PAOR,Northway Airport,aka-airport-paor-northway,NA,US,Alaska,62.9620476,-141.925934
PFYU,Fort Yukon,fs-base,NA,US,Alaska,66.57197,-145.248
0AK5,Young Creek,AKA-airports,NA,US,Alaska,61.35615,-142.730515
0AK8,Fireweed Airport,AKA-airports,NA,US,Alaska,61.42437,-142.983643
PAKA,Tatitlek Airport,AKA-airports,NA,US,Alaska,60.87041,-146.689255
9AK0,Sportsmens Paradise,AKA-airports,NA,US,Alaska,62.5295677,-143.254517
AK0,Jakes Bar,AKA-airports,NA,US,Alaska,61.2158775,-142.88591
AK31,Swift Creek Airport,AKA-airports,NA,US,Alaska,61.4084969,-143.000229
CZN,Chisana Airport,AKA-airports,NA,US,Alaska,62.087162,-142.074448
DDT,Duffy's Tavern Airport,"fs-base, AKA-airports",NA,US,Alaska,62.7245522,-143.9216
KGZ,Glacier Creek Airport,AKA-airports,NA,US,Alaska,61.45483,-142.378052
MYK,May Creek,AKA-airports,NA,US,Alaska,61.3325424,-142.685333
PAMX,Mccarthy Airport,AKA-airports,NA,US,Alaska,61.4369545,-142.902542
4AK3,Long Lake Airstrip,"AKA-airports, longlakeairstip",NA,US,Alaska,61.37864,-143.315979
PFTO,Tok Junction,fs-base,NA,US,Alaska,63.32953,-142.953781
LFKJ,Ajaccio Napoléon Bonaparte,"fs-base, alexvizair-airport-lfkj-ajaccio-napoleon-bonaparte",EU,FR,Corse,41.924736,8.792669
KOMA,Eppley,fs-base,NA,US,Nebraska,41.30316,-95.8940048
ZAWW,Altay Airport,"fs-base, Altay",AS,CN,China,47.7497978,88.0838242
LF652,Altisurface Cipieres,altisurface-cipieres-lf0652,EU,FR,Provence,43.7792244,6.864272
LF621,Altisurface Isola2000,altisurface-isola2000-lf0621,EU,FR,Paca,44.1730766,7.1628933
LF654,Altisurface Valberg,altisurface-valberg-lf0654,EU,FR,Paca,44.1065254,6.93973
AT17,Novo Runway,kychungdotcom-airport-at17-novo,AN,Antarctica,Queen Maud Land,-70.8246,11.6297007
AT24,Sky Blu,kychungdotcom-airport-at24-skyblu,AN,Antarctica,Palmer Land,-74.8540955,-71.56415
AT27,Troll,kychungdotcom-airport-at27-troll,AN,Antarctica,Queen Maud Land,-71.9569,2.45393
SCGC,Union Glacier Blue-Ice Runway,kychungdotcom-airport-scgc-unionglacier,AN,Antarctica,Ellsworth Mountains,-79.77778,-83.32083
YWKS,Wilkins Runway,kychungdotcom-airport-ywks-wilkins,AN,Antarctica,Wilkes Land,-66.69111,111.525833
AO02,Chamois,nikprist-ao02,EU,IT,,45.833477,7.61746931
EBBE,Beauvechain,ape42-airport-ebbe-beauvechain,EU,BE,Wallonie,50.756916,4.76917839
EDAY,Strausberger Airport,ape42-airport-eday-strausberg,EU,DE,,52.58234,13.9163389
EDCW,Wismar,"fs-base, ape42-airport-edcw-wismar",EU,DE,,53.9146957,11.501112
EDEM,Mosenberg,ape42-airport-edem-mosenberg,EU,DE,Hessen,51.0632057,9.420616
EK76,Tunø,ape42-airport-ek76-tunoe,EU,DK,,55.9568558,10.4097176
ETMN,Nordholz,ape42-airport-etmn-airport,EU,DE,Niedersachsen,53.76663,8.65887451
KHOB,Lea County Regional Airport,"fs-base, archbishopdave-airport-khob-leacounty",NA,US,New Mexico,32.6881523,-103.214485
LTFJ,Sabiha Gokcen,"fs-base, argaeus-ltfj-sabihagokcen",AS,TR,,40.8959045,29.3054562
BEL,Aerodromo Bell Ville,brainshot-sa05-bell-ville,SA,AR,Cordoba,-32.65857,-62.7027626
SAAC,Com Pierrestegui,"fs-base, brainshot-saac-concordia",SA,AR,Entre Rios,-31.2976151,-57.9970055
SAAP,Parana - General Urquiza,"fs-base, brainshot-saap-parana",SA,AR,Entre Rios,-31.7925873,-60.4780426
SAAR,Rosario Islas Malvinas,"fs-base, brainshot-saar-islas-malvinas",SA,AR,Santa Fe,-32.91455,-60.7840462
SAAV,Sauce Viejo,"fs-base, brainshot-saav-sauce-viejo",SA,AR,Santa Fe,-31.70926,-60.8096237
SABE,Aeroparque Jorge Newbery,"fs-base, brainshot-sabe-aeroparque",SA,AR,Ciudad De Buenos Aires,-34.5579872,-58.4179077
SADF,San Fernando International,"fs-base, brainshot-sadf-sanfernando",SA,AR,Buenos Aires,-34.45353,-58.58724
SADJ,Mariano Moreno,"fs-base, brainshot-sadj-mariano-moreno",SA,AR,Buenos Aires,-34.5601234,-58.7874832
SADP,El Palomar,"fs-base, brainshot-sadp-elpalomar",SA,AR,Buenos Aires,-34.6048737,-58.6151543
SAME,El Plumerillo,"fs-base, brainshot-same-el-plumerillo",SA,AR,Mendoza,-32.83005,-68.7936554
SAOC,Area De Material Rio Cuarto,"fs-base, brainshot-saoc-area-de-materiales",SA,AR,Cordoba,-33.09236,-64.26915
SAOS,Santa Rosa De Conlara,"fs-base, brainshot-saos-santa-rosa-de-conlara",SA,AR,San Luis,-32.37919,-65.18282
SARC,Corrientes,"fs-base, brainshot-sarc-corrientes",SA,AR,Corrientes,-27.44772,-58.7603951
SARE,Resistencia,"fs-base, brainshot-sare-resistencia",SA,AR,Chaco,-27.4499321,-59.0554352
SARF,Formosa,"fs-base, brainshot-sarf-formosa",SA,AR,Formosa,-26.2137356,-58.2286644
SATK,Las Lomitas,"fs-base, brainshot-satk-las-lomitas",SA,AR,Formosa,-24.72687,-60.5479
SATM,Mercedes,"fs-base, brainshot-satm-mercedes",SA,AR,Corrientes,-29.2235241,-58.0897827
SATR,Reconquista,"fs-base, brainshot-satr-reconquista",SA,AR,Santa Fe,-29.20429,-59.6909828
SAVN,Antoine De Saint Exubery,"fs-base, brainshot-savn-antoine-de-saint",SA,AR,Rio Negro,-40.7517471,-65.03208
SAZB,Comandante Espora,"fs-base, brainshot-sazb-bahia-blanca",SA,AR,Buenos Aires,-38.73073,-62.15573
SAZF,Olavarria,"fs-base, brainshot-sazf-olavarria, brainshot-sazf-olavarria",SA,AR,Buenos Aires,-36.8940659,-60.2190742
SAZF,Olavarria,"fs-base, brainshot-sazf-olavarria, brainshot-sazf-olavarria",SA,AR,Buenos Aires,-36.8940659,-60.2190742
SAZH,Tres Arroyos,"fs-base, brainshot-sazh-tres-arroyos",SA,AR,Buenos Aires,-38.3863144,-60.328167
SAZR,Santa Rosa,"fs-base, brainshot-sazr-santa-rosa",SA,AR,La Pampa,-36.59468,-64.2770538
SAZS,San Carlos De Bariloche,"fs-base, brainshot-sazs-bariloche",SA,AR,Rio Negro,-41.15464,-71.14423
SANR,Termas De Rio Hondo,brainshot-termas-de-rio-hondo,SA,AR,Santiago Del Estero,-27.4934025,-64.93482
SANT,Benjamin Matienzo,fs-base,SA,AR,,-26.8408775,-65.1048355
NZAA,Auckland Intl,fs-base,OC,NZ,,-37.0120544,174.7862
NZCH,Christchurch International Airport,"fs-base, ARNZ-NZCH-Christchurch",OC,NZ,,-43.48688,172.539719
NZDN,Dunedin International Airport,"fs-base, ARNZ-NZDN-Dunedin",OC,NZ,,-45.92822,170.20018
NZWN,Wellington International Airport,"fs-base, ARNZ-NZWN-Wellington",OC,NZ,,-41.31881,174.807434
ENCN,Kristiansand Kjevik,"fs-base, at-airport-encn-kjevik-WMod",EU,NO,,58.2038879,8.084937
ENSO,Stord Sorstokken,"fs-base, at-airport-enso-stord-sorstokken",EU,NO,,59.7922134,5.340477
CQRA,Quatam River,athena-airport-cqra-quatam,NA,CA,British Columbia,50.3847771,-124.938507
YGHB,Cape Shanck Airport,aussimulations-yghb-capeschanck,OC,AU,Victoria,-38.4827881,144.906952
LECU,Cuatro Vientos,fs-base,EU,ES,,40.3713226,-3.78467369
SDUN,Itaperuna,"fs-base, aviationandsimulation-airport-sdun-itaperuna",SA,BR,,-21.2170467,-41.8723755
ENBM,Bømoen,aw-airport-enbm-bomoen,EU,NO,Vestland,60.6392632,6.4971323
ENSD,Anda,"fs-base, aw-airport-ensd-anda",EU,NO,Vestland,61.83017,6.10739565
SEST,San-Christobal,axelstall-chistobal1 rev 4,SA,EC,,-0.9096179,-89.6173553
FNXX,Oncocua,axelstall-fnon01,AF,AO,,-16.6517315,13.4159908
KGPF,Port-Aux-Francis,axelstall-kerguelen01,AN,TF,,-49.3515244,70.21497
UUSM,"Eldikan ","fs-base, axelstall-uusm01",AS,RU,,60.7474976,135.127243
ENKA,Kautokeino,"fs-base, A_ENKA-Kautokeino",EU,NO,,69.04005,23.0339527
ENSQ,Setermoen,"fs-base, A_ENSQ_Setermoen",EU,NO,,68.85666,18.350069
ESAV,Kattleberg,"fs-base, ba-esav-scenery",EU,SE,,57.979,12.1430893
ESGA,Backamo,"fs-base, ba-esgascenery",EU,SE,,58.1771,11.9732246
ESGT,Trollhattan,"fs-base, ba-esgt-simple",EU,SE,,58.3179321,12.3446131
5NM,Dead Cow Lakebed Airstrip,badd-airport-5nm-deadcowlakebedairstrip,NA,US,Nevada,40.1454277,-119.906006
3U2,Johnson Creek Airport,"fs-base, baddweapon-airport-3u2-johnsoncreekairport",NA,US,Idaho,44.9086571,-115.48616
U660,Hidden Splendor Airstrip,baddweapon-airport-u660-hiddensplendorairstrip-v1-1,NA,US,Utah,38.5677,-110.957092
U692,Mexican Mountain Airstrip,baddweapon-airport-u692-mexicanmountainairstrip,NA,US,Utah,39.0196838,-110.451469
EGNG,Bagby,"fs-base, bagby-bagby",EU,GB,North Yorkshire,54.20989,-1.296284
1481,Ag1481 Glacier De La Chiaupe,bagolu-alps-altiports,EU,FR,Savoie,45.48825,6.771188
7424,Altisurface Du Glacier Du Dome Du Gouter,bagolu-alps-altiports,EU,FR,,45.8437271,6.843627
7329,Altiports Les Vaugellas,bagolu-alps-altiports,EU,FR,Savoie,45.60877,6.7036314
7421,Altiport Du Col De Cenise,bagolu-alps-altiports,EU,FR,,46.0216331,6.45142031
7422,Altiport Du Glacier D'Argentière,bagolu-alps-altiports,EU,FR,,45.9408073,6.99990368
7423,Altiport Du Glacier De Talèfre,bagolu-alps-altiports,EU,FR,,45.9083,6.98395061
7425,Altisurface Du Glacier Du Tacul,bagolu-alps-altiports,EU,FR,,45.8903847,6.939338
7426,Glacier Du Tour,bagolu-alps-altiports,EU,FR,,45.9779549,7.01674938
7430,Altisurface De Saint-Roch Mayères,bagolu-alps-altiports,EU,FR,,45.9490929,6.587875
6S9,Stehekin State,"fs-base, bahnzo-6s9-stehekin",NA,US,Washington,48.34481,-120.719788
CBX3,Chilanko Lodge,"fs-base, bahnzo-aiport-cbx3-chilanko",NA,CA,British Columbia,51.9547729,-124.881325
CED5,Taber,"fs-base, bahnzo-airport-ced5-taber",NA,CA,Alberta,49.8266,-112.179283
EGTK,Oxford,"fs-base, benjwri-egtk",EU,GB,Oxfordshire,51.8361,-1.31951225
BGCO,Nerlerit,bgco,NA,GL,,70.7423553,-22.6505718
BGKK,Kulusuk,"fs-base, bgkk",NA,GL,,65.57299,-37.13374
BGPT,Paamiut,bgpt,NA,GL,,62.0153236,-49.67188
BGUQ,Qaarsut,bguq,NA,GL,,70.73318,-52.69557
EGBB,Birmingham Airport,"fs-base, birmingham-airport-egbb-birmingham",EU,GB,,52.44405,-1.73713982
LOCH,Locher,bmw-airport-locher,EU,IT,,46.6008224,11.37956
LIPB,San Giacomo Airport,"fs-base, quelcertoleo-lipb-bolzano",EU,IT,,46.4626541,11.329339
UGSS,Sukhum,"fs-base, bmw-ugss-sukhum",AS,GE,,42.8595772,41.1255646
LYBL,Crvena Crkva,"fs-base, boba-crvena-crkva",EU,RS,Serbia,44.92357,21.3726635
LYCU,Cuprija,boba-dobricevo-cuprija,EU,RS,Serbia,43.94128,21.40867
LEMH,Menorca Airport,"fs-base, bouill-lemh-rg",EU,ES,,39.8628273,4.21874666
LEPA,Son Sant Joan,"fs-base, bouill-lepa-fw",EU,ES,,39.5523758,2.73855019
LEVX,Aeropuerto Vigo Peinador,"fs-base, bouill-levx-rg",EU,ES,,42.22231,-8.629356
SSSC,Aeroporto Luiz Back Da Silva,"fs-base, BR-SSSC",SA,BR,Rios Grande Do Sul,-29.6842575,-52.4124641
LFOP,Rouen/Vallee De Seine,fs-base,EU,FR,,49.3865852,1.18472862
L1153,Limoux,Brepaddon LF1153-Limoux,EU,FR,,43.0574532,2.226678
LEAB,Los Llanos,"brepaddon-airport-leab-losllanos, LEAB Los Llanos Albacete v2.0",EU,ES,,38.9480858,-1.86906743
LFNN,Narbonne,"fs-base, brepaddon-airport-lfnn-narbonne V1.2",EU,FR,,43.1938,3.05108976
LFOE,Base 105 Evreux Fauville,brepaddon-airport-lfoe-evreux,EU,FR,,49.0282173,1.22134924
LFRL,Lanveoc-Poulmic Navy,brepaddon-airport-lfrl-lanveoc,EU,FR,,48.2795868,-4.44293833
ULBRZ,Brezno Airport,brzn,EU,CZ,Czech Republic,50.40923,13.4458609
CAM5,Houston,"fs-base, cam5",NA,CA,British Columbia,54.43553,-126.786858
C81,Campbell Airport,"fs-base, campbell",NA,US,Illinois,42.32483,-88.0774155
MKO,Malekolon Airstrip,captainvtol-mko,OC,PG,,-4.020136,153.657547
YGYM,Gympie Airport,"fs-base, cartsons-ygym",OC,AU,Queensland,-26.2931919,152.705643
ZBAA,Beijing Capital,fs-base,AS,CN,,40.0787,116.594765
ZSJN,Yaoqiang,fs-base,AS,CN,,36.85727,117.215981
ZUCK,Jiangbei International,"fs-base, catflirter-zuck",AS,CN,Chongqing,29.71826,106.640991
CAU3,Oliver,"fs-base, cau3",NA,CA,British Columbia,49.17308,-119.550858
CAU4,Vanderhoof,"fs-base, cau4",NA,CA,British Columbia,54.05007,-124.008636
CAV4,Mcbride Charlie Leake Field,"fs-base, cav4",NA,CA,British Columbia,53.31464,-120.169533
CAX5,Likely Aerodrome,"fs-base, cax5",NA,CA,British Columbia,52.612957,-121.506889
CBB9,Osoyoos,"fs-base, cbb9",NA,CA,British Columbia,49.0370827,-119.490982
CBQ8,Woodcock,cbq8,NA,CA,British Columbia,55.0639725,-128.230972
CBW2,Kitimat Airpark,"fs-base, cbw2",NA,CA,British Columbia,54.1698837,-128.576645
EKOF,Revninge Flyveplads,cc-airfield -revninge,EU,DK,,55.4188,10.6707287
EKBO,Bogense Flyveplads,"fs-base, cc-airport-ekbo",EU,DK,,55.5434875,10.0325069
CEC4,Jasper-Hinton,"fs-base, cec4",NA,CA,Alberta,53.320694,-117.751953
CEG4,Drumheller,"fs-base, ceg4",NA,CA,Alberta,51.4969559,-112.748619
CEQ3,Camrose,fs-base,NA,CA,Alberta,53.039814,-112.816269
CEZ3,Cooking Lake,"fs-base, cez3",NA,CA,Alberta,53.4276428,-113.11702
EGJA,Alderney,"fs-base, channel islands airport-egja-alderney-superspud",EU,GG,,49.7070122,-2.21459317
EGJB,Guernsey,"fs-base, channel islands airport-egjb-guernsey-superspud",EU,GG,Guernsey,49.4344521,-2.59596157
EGJJ,Jersey,"fs-base, channel islands airport-egjj-jersey-superspud",EU,JE,,49.2069054,-2.19048858
ZEGBQ,Brecqhou,channel islands airport-zegbj-brecqhou-superspud,EU,GG,,49.43291,-2.3885715
LSPG,Kägiswil,"chrispriv-lspg01, sc-airport-swiss-airfields",EU,CH,Obwalden,46.9070854,8.254173
LKCR,Chrudim,"fs-base, chrudim-lkcr1, CZ_GA Revival 2020",EU,CZ,,49.9359,15.7819834
CHO,Cholila Lodge,chukakis-cholila,SA,AR,,-42.4643326,-71.5991058
LBI,Loberia,chukakis-loberia,SA,AR,,-38.18733,-58.7891
SALM,Loberia,"fs-base, chukakis-loberia",SA,AR,,-38.1872826,-58.78949
EDEN,Johannesberg,"fs-base, cjscenery-scenery-eden-bad-hersfeld-rotenburg",EU,DE,Hessen,50.84465,9.707314
EP62,Arlamow,"fs-base, cmdesign-epar",EU,PL,,49.6635056,22.5141678
EPBY,Ignacy Paderewski Airport,"fs-base, cmdesign-epby",EU,PL,,53.09776,17.97201
EPBY,Ignacy Paderewski Airport,"fs-base, cmdesign-epby",EU,PL,,53.09776,17.97201
EPEL,Aeroklub Elblaski,"fs-base, cmdesign-epel",EU,PL,,54.14485,19.423975
EPGD,Lecha Walesy,"fs-base, cmdesign-epgd",EU,PL,,54.3816071,18.4663849
EPGD,Lecha Walesy,"fs-base, cmdesign-epgd",EU,PL,,54.3816071,18.4663849
EPGL,Trynek,"fs-base, cmdesign-epgl",EU,PL,,50.2735443,18.6693115
EPKK,Balice,"fs-base, cmdesign-epkk",EU,PL,,50.07458,19.7931232
EPKM,Muchowiec,"fs-base, cmdesign-epkm",EU,PL,,50.2409859,19.0317478
EPKT,Pyrzowice,"fs-base, cmdesign-epkt",EU,PL,,50.4703331,19.0725632
EPLB,Lublin,"fs-base, cmdesign-eplb",EU,PL,,51.2362976,22.715414
EPLB,Lublin,"fs-base, cmdesign-eplb",EU,PL,,51.2362976,22.715414
EPLL,Lublinek,"fs-base, cmdesign-epll",EU,PL,,51.72475,19.4000721
EPLU,Lubin,"fs-base, cmdesign-eplu",EU,PL,,51.4278145,16.19425
EPMO,Modlin,"fs-base, cmdesign-epmo",EU,PL,,52.44923,20.6513271
EPPO,Lawica,"fs-base, cmdesign-eppo",EU,PL,,52.4152565,16.82764
EPPO,Lawica,"fs-base, cmdesign-eppo",EU,PL,,52.4152565,16.82764
